Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Mean_Age,Confirmed,Deaths,Mortality Ratio,Latitude,Longitude
Djibouti,958920,14000,2020-04-11T00:00:00.000Z,2020-03-19T00:00:00.000Z,23.7,5407.0,61.0,1.13,11.825138,42.590275
Dominica,71625,63000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-23T00:00:00.000Z,37.0,24.0,0.0,0.0,15.414999,-61.370976
Dominican Republic,10627165,6569000,2020-03-18T00:00:00.000Z,2020-03-02T00:00:00.000Z,26.1,109737.0,2074.0,1.89,18.735693,-70.162651
Ecuador,17084357,2535000,2020-03-15T00:00:00.000Z,2020-03-02T00:00:00.000Z,26.6,129892.0,11171.0,8.6,-1.831239,-78.183406
Egypt,98423595,11196000,2020-03-09T00:00:00.000Z,2020-02-15T00:00:00.000Z,24.7,102375.0,5822.0,5.69,26.820553000000004,30.802498
El Salvador,6420744,1677300,2020-04-01T00:00:00.000Z,2020-03-20T00:00:00.000Z,25.8,27954.0,819.0,2.93,13.794185,-88.89653
Equatorial Guinea,1308974,14000,2020-04-23T00:00:00.000Z,2020-03-16T00:00:00.000Z,22.2,5018.0,83.0,1.65,1.6508009999999995,10.267895
Eritrea,3214000,14000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-22T00:00:00.000Z,18.9,364.0,0.0,0.0,15.179384,39.78233400000001
Estonia,1321977,3234000,2020-03-26T00:00:00.000Z,2020-02-28T00:00:00.000Z,41.6,3033.0,64.0,2.11,58.595272,25.013607
Ethiopia,109224559,849000,2020-04-06T00:00:00.000Z,2020-03-14T00:00:00.000Z,18.6,71083.0,1141.0,1.61,9.145,40.489673
Fiji,883483,870000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-20T00:00:00.000Z,27.6,32.0,2.0,6.25,-16.578193,179.414413
Finland,5515525,3224000,2020-03-22T00:00:00.000Z,2020-01-30T00:00:00.000Z,42.5,9288.0,343.0,3.69,61.92411,25.748151
France,66977107,89322000,2020-02-16T00:00:00.000Z,2020-01-25T00:00:00.000Z,41.2,508456.0,31447.0,6.18,46.227638,2.213749
Gabon,2119275,14000,2020-03-21T00:00:00.000Z,2020-03-15T00:00:00.000Z,22.6,8716.0,54.0,0.62,-0.803689,11.609444
Gambia,2280000,14000,2020-03-24T00:00:00.000Z,2020-03-18T00:00:00.000Z,17.0,3542.0,110.0,3.11,13.443182,-15.310139
Georgia,3726549,4757000,2020-04-05T00:00:00.000Z,2020-02-27T00:00:00.000Z,38.0,4140.0,25.0,0.6,42.315407,43.356892
Germany,82905782,38881000,2020-03-10T00:00:00.000Z,2020-01-28T00:00:00.000Z,45.9,279025.0,9423.0,3.38,51.165691,10.451526
Ghana,29767108,14000,2020-03-22T00:00:00.000Z,2020-03-15T00:00:00.000Z,20.4,46153.0,299.0,0.65,7.9465270000000015,-1.0231940000000002
Greece,10731726,30123000,2020-03-12T00:00:00.000Z,2020-02-27T00:00:00.000Z,43.3,16286.0,357.0,2.19,39.074208,21.824312
Grenada,111454,185000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-23T00:00:00.000Z,27.2,24.0,0.0,0.0,12.262776,-61.604171
Guatemala,17247807,1781000,2020-03-17T00:00:00.000Z,2020-03-15T00:00:00.000Z,21.3,87442.0,3154.0,3.61,15.783471,-90.230759
Guinea,12414318,14000,2020-04-16T00:00:00.000Z,2020-03-14T00:00:00.000Z,18.4,10434.0,65.0,0.62,9.945587,-9.696645
Guinea-Bissau,1874309,14000,2020-04-27T00:00:00.000Z,2020-03-26T00:00:00.000Z,18.9,2324.0,39.0,1.68,11.803749,-15.180413
